"OFFICECODE","CITY","PHONE","ADDRESSLINE1","ADDRESSLINE2","STATE","COUNTRY","POSTALCODE","TERRITORY"
"KTYP522050","Des Moines, IA","800-556-6182","3081 Lake Cove","7693 768th Cir","CA","Lebanon","72313","PK"
"UWXW078776","St Louis, MO","877-723-9932","558 NE Hill Hbrs","","ID","Singapore","99356","MV"
"JERA362804","Elizabeth, NJ","888-411-3399","3418 S Main Skyway","","AR","Bosnia and Herzegovina","51809","LU"
"URKS378974","Santa Fe, NM","877-725-1065","1817 Diamond Turnpike","","WV","Virgin Islands, U.S.","42318","LY"
"CMJR930716","Montpelier, VT","800-838-8468","2189 SE Lake Meadow","5157 NW Mountain Pass","NC","Cuba","08417","MZ"
"PSQI379948","Nashville, TN","800-731-2875","7483 Jade Sta","","ND","Guatemala","25320","CL"
"TFAZ502100","Providence, RI","866-910-9960","4779 W Lazy Peach Boulevard","","RI","Pakistan","13630","NG"
"HENY789757","Portland, ME","888-312-3818","5475 E Topaz Fork","1497 Eighth Run","ME","Colombia","28816","GA"
"QQOD169864","Shreveport, LA","800-404-4624","6907 W Gentle Ocean Ctr","","NJ","Timor-Leste","64467","BL"
"UEVZ169312","Cheyenne, WY","877-515-1533","2491 NE Indiana Vis","","WY","France","06611","PS"
"VWVC990401","Detroit, MI","888-376-4642","3375 NW Indiana Ranch","","CO","Malta","06029","ID"
"GRXW402689","Bridgport, CT","800-812-8815","8425 878th Park","","VA","Trinidad and Tobago","41427","CV"
"KEGS633927","San Francisco, CA","800-575-2397","721 SE Main Tunnel","","WI","France","40675","VU"
"YHSJ695868","Jackson, MS","877-300-3267","7150 SE 671st Cpe","","DE","Virgin Islands, British","08047","FK"
"JWUF545171","Springdale, AR","866-566-0318","7112 S Fallen River Pl","5815 675th Sq","ID","Georgia","47676","SG"
"EJOJ643689","Madison, WI","800-708-8731","325 W Lake Mill","","FL","Wallis and Futuna","26874","GN"
"YEYH294560","Providence, RI","888-266-7447","2160 S Seventh Rdg","6125 NE Lake Plz","ID","Pakistan","65616","PY"
"TAFV352084","Davenport, IA","888-741-7236","9030 SE Florida Hollow","","LA","Bolivia, Plurinational State of","63328","MC"
"JMLR846939","Winston-Salem, NC","888-686-6311","1748 Ruby Knl","","AR","United States","06551","MU"
"TTJO278444","Austin, TX","866-700-4667","7292 SW Rose Lakes","","WV","Libyan Arab Jamahiriya","87396","AD"
"VSVL329287","Fort Smith, AR","866-954-7845","6560 380th Cliff","","MD","Tuvalu","32263","MD"
"DVXV411100","Spokane, WA","866-878-4866","5349 Sixth Hbr","","NV","French Guiana","83099","SC"
"UCSU363432","Honolulu, HI","877-809-8344","8129 Pearl Fall","","MN","Antarctica","57444","SN"
"YSZL211971","Concord, NH","888-617-3686","2778 NW Sixth Spur","","IL","Tanzania, United Republic of","33048","KW"
"QUXD706376","Shreveport, LA","800-911-8118","4789 W Nevada Dv","","NY","Montenegro","97197","WS"
"UGTO912367","Jackson, MS","888-470-3297","8082 W Coral Cmn","","AL","Senegal","69146","QA"
"MCUO976731","Manchester, NH","877-548-5548","5229 Fourth Ridge","1443 Fifth Lakes","NE","Bahrain","23050","YE"
"FQII257961","Los Angeles, CA","866-671-9674","6937 Fifth Grvs","","IL","Norfolk Island","76868","ZA"
"KUDT510138","Joliet, IL","800-959-3400","7230 Hidden Elm Frg","277 Quartz Causeway","VT","Turkey","88706","PT"
"LCSZ628535","Tocoma, WA","866-667-6243","9805 NE Crystal Mountain Sq","9067 SW Opal Skyway","NJ","Qatar","87753","RO"
"SCMP324458","Nashua, NH","866-906-0990","8965 W Park Village","","CA","Honduras","37411","CK"
"CAES545217","Portland, OR","888-671-6075","6985 E Golden Mulberry Fields","","NH","Italy","90456","TZ"
"FEFX207650","Durham, NC","866-481-1274","4390 Cottonwood Ville","1791 821st Mnr","MN","Mali","30737","NF"
"TCEP152749","Pocatello, ID","866-936-9822","433 108th Bluff","","OH","Niger","72317","CL"
"RPWB978069","Fort Worth, TX","888-598-2204","5468 SE Tulip Lck","","CT","?land Islands","36215","GU"
"TZDU140423","San Diego, CA","800-801-6068","9246 744th Spur","","MI","Aruba","57731","MS"
"SICW662991","Carson City, NV","866-906-5409","4943 Windy Spruce Rd","","PA","Turkey","71869","CA"
"DDWF559313","Chicago, IL","800-897-5793","5578 596th Mtn","","TX","Tuvalu","22086","PK"
"TZPZ398057","Columbia, SC","877-472-6738","9310 NE Hemlock Flats","","LA","Lao People's Democratic Republic","26026","UG"
"NSSO523922","Fayetteville, AR","866-940-7340","1436 Sixth Falls","","NC","Morocco","16204","TL"
"WPXI529352","Green Bay, WI","800-291-0759","1081 319th Grv","","VT","Cameroon","16123","TL"
"BQIW512878","Rapid City, SD","877-868-5375","6378 SW Light Ash Terrace","","RI","Congo, Democratic Republic of the","66197","KE"
"EXJX701911","Burlington, VT","877-412-1626","4112 NE New Mexico Shr","","NH","Honduras","85975","BR"
"EJUG808036","Pawtucket, RI","800-805-0243","8037 First Harbors","","WY","Gabon","70341","PW"
"NQFX239213","Wilmington, DE","866-356-2879","9220 SW Lonesome Mimosa Expy","","UT","Burkina Faso","13685","ER"
"MUSG538004","Grand Forks, ND","877-820-2426","4456 SE Alaska Rte","","MD","Ghana","29638","DE"
"XPTS837763","Minneapolis, MN","877-714-2339","9942 Idaho Knolls","5758 Maryland Meadows","NE","French Polynesia","48552","GF"
"EGUH762489","Charlotte, NC","866-297-7033","1530 848th Cape","","NJ","Austria","65922","BH"
"PADY366218","Indianapolis, IN","800-580-5813","1953 30th Jct","717 New Jersey Lakes","MI","Ghana","27490","GE"
"OJGH576375","Topeka, KS","888-552-6462","6776 645th Bayoo","","KS","Svalbard and Jan Mayen","04800","BF"
"FELW833150","Sioux City, IA","888-997-3496","237 Ash Expressway","","MI","Andorra","50803","AX"
"GOIF170828","Bridgport, CT","877-289-6082","8218 N Ohio Mnr","","HI","Yemen","16206","HU"
"WHSA335243","Honolulu, HI","800-892-4216","6906 Main Cape","4565 SE Shady Alder Tunl","MN","Mexico","10137","JM"
"IVRF425524","Sioux City, IA","877-338-9468","3042 Linden Shr","7791 SW Lonely Ocean Knolls","TN","Montserrat","62126","CK"
"UIBU878374","Raleigh, NC","866-761-9385","5023 S Second Greens","","PA","Guam","63404","GD"
"DLPV135447","Tucson, AZ","888-312-5203","7077 267th Riv","","CO","India","11376","GL"
"ZOCN551251","Fort Smith, AR","866-612-5682","9777 SE Park Park","","WA","Uganda","24616","JO"
"SVZO791744","Albuquerque, NM","888-445-7100","2591 SE Fourth Tpke","","CA","Netherlands Antilles","36921","PL"
"FXXF361193","Mobile, AL","888-512-0576","7053 Crabapple Crst","","ME","Kiribati","07201","VE"
"HXUZ404510","Houston, TX","866-943-0420","7558 Willow Rdg","9046 Redwood Lock","GA","Maldives","46282","CN"
"HXLX074057","Warwick, RI","877-367-5558","9895 Alder Grns","","HI","Cape Verde","27649","AL"
"ZBLG388616","Houston, TX","866-292-6625","3213 Sixth Hts","9144 SE 250th Lake","LA","Korea, Democratic People's Republic of","06862","GA"
"IMAV418138","Jackson, MS","888-446-7502","5790 Cherry Grv","8140 Meadow Ter","MS","Ukraine","18380","CC"
"PKJH075295","Philadelphia, PA","877-349-1229","8753 S Stream Shoal","","NV","Tunisia","31736","SL"
"FAFN039997","Tocoma, WA","888-277-6654","7341 235th Run","183 SE Third Mnr","IL","Svalbard and Jan Mayen","36886","SR"
"CYZK052655","Evansville, IN","877-292-7060","6192 N 747th Heights","3927 S Dusty Lilac Walk","AK","Angola","98456","MU"
"KSCX996317","Trenton, NJ","800-782-9741","4146 W Garnet Tpke","719 Hill Heights","OR","Panama","36985","AE"
"HGLJ889969","Manchester, NH","888-498-8795","4870 NW Pearl Hls","","MS","South Africa","30850","SD"
"YXJW959611","Nashua, NH","800-822-7143","3265 Stream Valley","","NV","Honduras","72894","RU"
"LOYS647010","Annapolis, MD","800-360-9657","286 S Pennsylvania Isle","","OR","Austria","54293","HT"
"JNWP958477","Fayetteville, AR","800-421-8394","332 Main Riv","7667 SW Bright Mimosa Alley","OH","Sri Lanka","99938","RE"
"MMVX695685","Charleston, WV","888-561-1926","6232 Idaho Lake","","MT","Tonga","54333","PN"
"CARZ066456","Billings, MT","800-261-3995","244 Hill Run","203 SW Quartz Plaza","IN","Antarctica","28794","PS"
"RUYR223461","Kansas City, MO","877-573-0499","461 SW Clear Ocean Crest","","LA","Azerbaijan","32942","TZ"
"ZPAQ463916","Glendale, AZ","800-262-1010","3365 Mimosa Highway","","KS","Singapore","14454","AO"
"JFSN120579","Paterson, NJ","888-515-3714","836 SE Seventh Mountain","","UT","Bangladesh","63353","OM"
"DYMU033014","Casper, WY","800-628-9703","3493 208th Row","","MA","Sierra Leone","19477","GB"
"ELJS689752","Springfield, MA","866-625-2884","2654 N 602nd Hts","","NE","Paraguay","80494","MC"
"XUIT703688","Gulfport, MS","800-809-2415","655 W 630th Meadow","","KY","Somalia","20773","KN"
"LACZ250988","San Antonio, TX","888-877-7120","8020 SE 711st Center","","ND","Bahamas","23005","NE"
"TGLA926004","Fort Collins, CO","888-854-7387","6491 SE Ninth Hl","","AL","Djibouti","56330","TC"
"MRKZ192766","Eugene, OR","800-366-9079","672 S Balsam Walk","","VA","Palau","93947","BV"
"IHRW250435","Dayton, OH","888-618-3574","7637 Fourth Ct","","TX","Saint Martin (French part)","94793","BR"
"EEBT021515","Miami, FL","888-390-9788","9234 Tennessee Run","9915 Iowa Cor","OK","Isle of Man","68265","IM"
"NRYE895141","Lincoln, NE","888-585-3788","5509 Rose Walk","4265 W 751st Fort","NH","Switzerland","04044","GG"
"QPNP355058","Cheyenne, WY","866-565-3292","6940 338th Vw","5042 N Bright Mimosa Vis","DE","El Salvador","71972","SN"
"JPPY542252","Fort Smith, AR","888-571-9974","4644 Nebraska Shl","","AK","Mongolia","41821","FO"
"ILQH570516","Gaithersburg, MD","888-734-5347","3032 Mountain Flts","8474 NW 751st Street","WA","Iceland","69144","FM"
"IUTE927094","Frederick, MD","877-709-0146","4355 Main Sq","6268 E Rhode Island Fall","WY","Paraguay","55857","MK"
"ZELZ556246","Providence, RI","800-373-8505","8235 SE Diamond Hl","","ME","Burundi","35081","VE"
"QZDW205443","Fargo, ND","888-302-3226","5164 SE Fifth Club","","PA","Denmark","17924","SN"
"RXJB687313","Denver, CO","888-492-8386","3986 E Seventh Walk","","LA","Finland","02273","AR"
"HWBC055294","Des Moines, IA","800-930-6577","6346 S Stream Court","","WA","Saint Kitts and Nevis","15525","GY"
"RXWA844576","Detroit, MI","877-624-2358","7078 NE Emerald Rnch","","NJ","Syrian Arab Republic","11197","GA"
"PYDE154679","Davenport, IA","800-779-8702","3046 Cedar Cor","8460 Amber Pass","MI","Ecuador","08413","MP"
"MXNE082001","Baton Rouge, LA","800-532-8298","9423 SE 561st Knoll","","KY","United States Minor Outlying Islands","70991","MY"
"LYQN600176","Salem, OR","888-860-0518","1375 White Hemlock Xing","","ND","Antarctica","57258","VC"
"HRKJ880327","Tucson, AZ","888-548-4274","4045 W 272nd Boulevard","","MS","Bahamas","92132","MC"
"KDUW553345","Albany, NY","866-790-8254","9075 SE Fallen Ocean Walk","","RI","Malawi","14946","CU"
"WLHZ556713","Sioux City, IA","866-235-7783","2130 Second Fork","4607 Rose Trl","WI","Australia","84712","CG"
