"CUSTOMERNUMBER","CHECKNUMBER","PAYMENTDATE","AMOUNT"
682,"VC8048790437",26.11.2008,334,71
543,"AG6134409944",30.01.2007,541,81
789,"KS0101121521",30.09.2008,648,74
1253,"WL9803640112",26.03.2006,810,88
815,"ZA6089602433",01.12.2007,528,82
1026,"WX0801397042",01.12.2007,591,81
781,"HF2560223270",30.06.2006,216,1
561,"WC0040652834",25.07.2006,488,19
584,"UC0321161465",27.03.2008,654,61
1264,"NB8987520074",11.10.2007,349,8
1287,"YE3384677466",03.07.2006,339,3
512,"AB7279149203",15.02.2007,694,75
594,"RX4627262846",09.04.2006,883,21
566,"MF4120179449",16.12.2007,510,93
1158,"SA1288293594",09.09.2008,882,93
969,"FN3761838785",02.05.2007,309,24
631,"NK5540624173",18.02.2006,243,9
1145,"HS4301361139",13.05.2008,396,31
817,"ZS4324484368",07.09.2008,895,82
1294,"HY8113001525",05.05.2006,684,38
701,"JW1253171944",10.11.2008,225,51
590,"KU9346821646",18.07.2006,413,71
877,"XK6570281576",11.09.2008,431,67
675,"QA3576885868",25.03.2007,775,54
1300,"RL1095655851",13.03.2007,219,74
743,"PF6278711683",14.01.2007,644,17
616,"OC1938120219",24.10.2008,642,48
676,"PK5113049901",03.08.2006,700,98
816,"ET9376225306",22.01.2007,317,89
871,"ZA2173543952",27.12.2007,216,93
1038,"OW8264498779",28.02.2006,957,29
809,"IK0852879220",14.04.2007,496,85
618,"IW2632797803",22.06.2007,774,22
872,"FQ2277650754",28.06.2007,734,82
1123,"WH1062338427",12.01.2006,358,27
713,"EW1225118018",10.11.2008,229,12
714,"FB0367226005",28.06.2006,448,31
1023,"SX8148057512",22.02.2007,413,55
1149,"UP6035256784",04.01.2008,366,98
962,"XP3946182280",29.10.2008,625,05
523,"YK0452642264",06.06.2008,738,42
533,"XM2771457725",19.11.2008,996
711,"NG7004870356",22.08.2008,353,66
977,"ID9396934383",12.10.2006,386,89
1004,"FZ7433018541",22.06.2008,919,36
1268,"EF0536170077",09.12.2007,905,59
1252,"EA0402803441",11.03.2006,781,22
1227,"YD9852594686",28.02.2007,949,63
1139,"UY5710235823",18.05.2006,596,29
653,"ZH0017934278",04.07.2006,299,76
1087,"CZ2733564437",22.07.2008,597,24
657,"PZ0351582136",23.01.2008,846,44
1165,"KK2224784858",28.11.2008,387,51
